,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
1542,4367,503298485314594381705019780509426763866006381120290214202613520005553131234925,275499489291258129713941858655339009063672321485815142064602751816907438578796,421199948623241077919639052341251113989143680917805605934759945027804192991003,5634840336339372997788475488555346796168130107569947114491538827497159351470,49214695497588083762684544917042398917732448359515918097969100119360189775738980,421199948623241077919639052341251113989143680917805605934759945027804192991003,397,35605538488688908729394442666345667505,11,158257410939858050937186087477653121294,49214695497588083762684544917042398917732448359515918097969100119360189775738980
1543,4370,72,23,552,7,665,6,2,6,23,1,665
1544,4373,104271961878155708485925,99442415412573086020036,31366352207944169860323,1539855136537540781890,13467573024157331678409940,31366352207944169860323,4373,4883082185,1,315344914994,13467573024157331678409940
1545,4379,13924,6525,151151,1770,102660,1001,1,118,29,15,151151
1546,4381,14641,1872,37752,791,266567,1452,1,121,13,12,266567
1547,4382,12800,10609,335223,8240,32960,153,2,80,1,103,335223
1548,4389,76,1,76,5,1155,2,19,2,1,1,1155
1549,4390,1960,1521,25901,546,10920,59,10,14,1,39,25901
1550,4391,1334222892280520692663691315638163075605635600,1049300073576645197115943226711953779401755561,54607840824590936704153158991210321092251155283,1183216032277113257509062743087010617979591540,2366432064554226515018125486174021235959183080,12436310823181720952892999087044026666420213,1,36527015923567048110660,1,32392901592426776566669,54607840824590936704153158991210321092251155283
1551,4397,37073633997720753982645041402214417125547228222049084008024159000397752805048194711288999189954826786712047515388988930777508803791055192554529064270164379809613739394511133131109974878431653103088975831972281714278876644444728634425979388422903539330042763944243376998808869851909925,33119589895215413675827896651759432121633030549862224108731626032561541586247797599442739855651816188230371682647102667894924179533356650920585025174573338688739317602162589762273665400112355667765788442381954126431742145247503524392944597351551108622913485260598457258007121475753124,16659744985134112144874196692157473996886423182971586434785643519825150016687014292871657639294433912822536856208737245004666759139599938311567856681118857136577355238249036897242549817445653865107642952784351552707801330530948519881696232369691656148012859012781517096561906493574557,528441384213879518451610636051335062984398264201863000108853065945399196414919352263001173382902128906791364394444754332458958723343174999712449524050567088583698917256645110191872331446569425725325027534850158429781593231950550121162977471747725830698681123549100012347268529230910,4647113532776856485263463933435440543884798335391183222957253861923840533272800783800832318729241321606323258484747169599644083013079880947471281114500686977005048278354937099027325282741131529828508292141472293231499330881773137765507223886549500955164201800490785508581879446056622540,16659744985134112144874196692157473996886423182971586434785643519825150016687014292871657639294433912822536856208737245004666759139599938311567856681118857136577355238249036897242549817445653865107642952784351552707801330530948519881696232369691656148012859012781517096561906493574557,4397,91823606493707279807533036195542605752995336453903697387602665713673305565251876509462713565693193830501626936714722321338291061745346966245,1,5754962197548773966735992426293280480400477362296533235360490431234453719394964913753549051741580652685463162542914295589869028468650076457318,4647113532776856485263463933435440543884798335391183222957253861923840533272800783800832318729241321606323258484747169599644083013079880947471281114500686977005048278354937099027325282741131529828508292141472293231499330881773137765507223886549500955164201800490785508581879446056622540
1552,4398,3807795553157362582745014641762314,20092106174224302025930969106689,21181003121587694546115874764914212,2198401182823134353816023900001425,6595203548469403061448071700004275,7224080191537412873845796304541,1466,1611646636012573,1,4482421909439617,21181003121587694546115874764914212
1553,4399,11383876,11215801,129264615,11299526,22599052,29385,1,3374,1,3349,129264615
1554,4402,2401,200,1960,51,112251,490,1,49,2,10,112251
1555,4405,2015831205,4401604,421257420,67914917,59833041877,42125742,5,20079,1,2098,59833041877
1556,4406,6655530475982763117419582321365801807043003932178,514773169738507303234927499257265075766297169009,5235332669019521416679054328724079226119701026604,141374958987802598391363527340056477502961635099,311449034650129124256173850730144419939024482123097,1308833167254880354169763582181019806529925256651,2,1824216335304390798478717,1,717476947182630602486503,311449034650129124256173850730144419939024482123097
1557,4407,4336932925,1100802156,290099853420,4194904267,4194904267,32913530,13,18265,339,1802,290099853420
1558,4411,225,176,2807,60,1320,7,1,15,11,4,2807
1559,4413,265350306390465782332803323236,34639868111101189296489561675,332115033383423204148230816940,6859315847405341954660359949,10090053611533258015305389484979,55352505563903867358038469490,1,515121642323894,3,107455212547835,10090053611533258015305389484979
1560,4414,2699139101148288,78921742531681,1305437125864032,57429940952113,126747879681313391,326359281466008,2,36736488,1,8883791,126747879681313391
1561,4415,68213550430313652004,18013910418000313441,70108281586283852084,990165399519549273,4371580238878810040295,35054140793141926042,1,8259149498,1,4244279729,4371580238878810040295
1562,4421,238508639525,45779737444,13895652969380,234073891683,234073891683,1571550890,4421,7345,1,213962,13895652969380
1563,4422,1250,961,37587,775,3100,17,2,25,1,31,37587
1564,4423,1790274188268508058297990706336933327656130608598909918208312397683881037309453045267741378061915171214749575143553867540539351454038945014146320351410112471768289115469455150062297675279871937945755414133532128676184482731105284479614474864993915737438201897037456070389902744947250502288016,89789971821842446051589303661804762565814110557319350838814526514895505885114350569194523835766944093300097408398509345879413617176697206200684519076294981959400978207226763926776418776802660936861357936929950667842334234423125011886676311955549805106949147695060128330705618097782460013209,801869487929304357709162747340601208171497215166795550636933563252208327582328208299759642230656414106745120170267749701662730469484028045074336336568173193165435340123523564480087084845788232658492505223858177849825256706818674402738763378808029678573909999429199645390801291584739209263624,26885255506153879977633862467403289854918846059545374892845267076736667918735313754640450690449441751651581180131678966951055434160959606249987994053560451756726654435324639137394766288056234709050457546115874074139993790299001432483147587972159009461196432779012664583114632525810856192395,118913485103718611141074573693324751028306056121369193151054616280406282204566292736774713403857880867554943559722416070824518185293924338443696897698897878120001992567440878904697051292072726118130173726470511029921192534492483335872961781600859298846871822181573015451116019661661416938963085,400934743964652178854581373670300604085748607583397775318466781626104163791164104149879821115328207053372560085133874850831365234742014022537168168284086596582717670061761782240043542422894116329246252611929088924912628353409337201369381689404014839286954999714599822695400645792369604631812,1,42311631831784839095802902950091996055743424852894525670270430541783532782156154301378180519760015873481340420381877024829616410189692234947661004,1,9475757057979190617171945156436865143087711520382299822122962492818005137295991172077701354891670512920916707193941507352763249035287105111862203,118913485103718611141074573693324751028306056121369193151054616280406282204566292736774713403857880867554943559722416070824518185293924338443696897698897878120001992567440878904697051292072726118130173726470511029921192534492483335872961781600859298846871822181573015451116019661661416938963085
1565,4429,7347447791149322545214247769170440328756196,588415872506753308338391326183500255091747,27269342552929924078439874389277578006899308,721640228550621984567085882868143804725487,74328943540714064410409845935418811886725161,317085378522440977656277609177646255894178,1,2710617603268547089514,43,116979015461306514477,74328943540714064410409845935418811886725161
1566,4430,7559291198292457563,5979272338494721442,10341949942514149555,225864431163384519,400231772021517367668,2068389988502829911,443,130628721,2,1729056439,400231772021517367668
1567,4431,844,3,2532,319,2233,2,211,2,3,1,2532
1568,4438,306856,263169,417515,11286,14310648,59645,634,22,1,513,14310648
1569,4439,214369,211968,444479,44448,2044608,2303,1,463,23,96,2044608
1570,4441,52763521,13838400,3601473360,50916479,50916479,405480,4441,109,1,3720,3601473360
1571,4445,30921077518897801,29831740958898000,242557738966632733,13582559219188140,135825592191881400,272843350918597,1,175843901,5,77242140,242557738966632733
1572,4447,30342555281236089159675744876258079911835692846151417083623827835188503125304376273070780456562213283224358162784190752669898749117499709283516416,21413741704923118090445607264837435644674276326498868715231461795628722015326257569800399119367987559295007385257082072613694091319862028131456609,1433547344531256014392588118097138036806850210520946284487403437462865078578313672525935942005339723826906971477305436254414747678814272761027606735,25490147929342043204423899170371489376833108872797966266582299587886578473251673876209751916674997270689035247433165499326662030106853996783970688,50980295858684086408847798340742978753666217745595932533164599175773156946503347752419503833349994541378070494866330998653324060213707993567941376,322362793913032609487876797413343385834686352714402132783315367093066129655568624359328972791846126338409483129594206488512423584172312291663505,1,5508407690180174850097495407030268757317729713479196253723682236906578304,1,4627498428408497913624654473832026548391416460537750453109096041492958897,1433547344531256014392588118097138036806850210520946284487403437462865078578313672525935942005339723826906971477305436254414747678814272761027606735
1573,4453,148893341689,76546446336,1091155542965,13668952608,1667612218176,14947336205,1,385867,61,35424,1667612218176
1574,4454,10255697762,454499761,6106529084,217109193,483502172811,1526632271,2,71609,1,21319,483502172811
1575,4461,821855241648,814453905841,4243685764951,472356931284,2834141587704,2853857273,3,523404,1,902471,4243685764951
1576,4462,329157896025112200,213568609417555921,11830390845144849677,187480391151837090,749921564607348360,5302730096434267,2,405683310,1,462134839,11830390845144849677
